Rank,Preprocessing Pipeline,Best Epoch,Precision,Recall,mAP50,mAP50-95,Box Loss,Class Loss,DFL Loss
1,test,36,0.483,0.4294,0.4083,0.1519,1.8684,1.7777,1.3638
2,unprocessed,49,0.4422,0.4231,0.4077,0.1645,1.8126,1.775,1.3761
3,test2,42,0.5722,0.359,0.3765,0.1498,1.8246,1.7801,1.3611
4,gaussian_clahe,68,0.4245,0.4231,0.3695,0.1422,1.6619,1.5151,1.2652
5,otsu_clahe_nlm,52,0.4463,0.4103,0.3536,0.1336,1.7231,1.664,1.3605
