epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,723.168,1.83233,1.78272,1.35763,0.376,0.38711,0.32279,0.13378,2.04704,2.16722,1.51247,0.000990365,0.000990365,0.000990365
43,739.11,1.8541,1.87025,1.3577,0.4598,0.38721,0.36685,0.14647,2.10901,2.09298,1.55245,0.000973861,0.000973861,0.000973861
44,755.279,1.81141,1.75103,1.34948,0.47232,0.46154,0.40584,0.15255,2.1309,2.0345,1.56677,0.000957358,0.000957358,0.000957358
45,771.4,1.82906,1.76774,1.35769,0.4232,0.38462,0.36828,0.15474,2.06087,2.00571,1.56951,0.000940855,0.000940855,0.000940855
46,788.724,1.82044,1.7868,1.35083,0.49547,0.38462,0.36312,0.15375,2.10926,2.04714,1.54466,0.000924352,0.000924352,0.000924352
47,804.498,1.81888,1.73697,1.35963,0.42297,0.40047,0.35263,0.14956,2.0032,2.09782,1.49987,0.000907848,0.000907848,0.000907848
48,822.334,1.8096,1.76889,1.34653,0.5055,0.35897,0.37151,0.15162,2.06622,2.05077,1.55136,0.000891345,0.000891345,0.000891345
49,838.363,1.81264,1.77504,1.37609,0.44222,0.42308,0.4077,0.16447,2.05799,2.04575,1.51717,0.000874842,0.000874842,0.000874842
50,856.326,1.75235,1.67093,1.31903,0.39756,0.48718,0.37441,0.14984,2.06404,2.032,1.53668,0.000858338,0.000858338,0.000858338
51,874.76,1.77184,1.68182,1.36052,0.39252,0.44872,0.34607,0.14352,2.04998,2.12634,1.5603,0.000841835,0.000841835,0.000841835
52,890.487,1.77831,1.69641,1.32212,0.41825,0.41026,0.37252,0.15569,2.10954,2.07542,1.57468,0.000825332,0.000825332,0.000825332
53,908.74,1.72174,1.63683,1.30794,0.52614,0.40352,0.38396,0.15909,2.09742,2.03684,1.58009,0.000808828,0.000808828,0.000808828
54,925.311,1.77914,1.62833,1.31921,0.50576,0.35897,0.36103,0.14064,2.19381,2.15135,1.62103,0.000792325,0.000792325,0.000792325
55,940.803,1.75498,1.57752,1.32244,0.42401,0.49995,0.36588,0.14831,2.10812,1.96605,1.54265,0.000775822,0.000775822,0.000775822
56,957.058,1.75381,1.65876,1.30257,0.34907,0.42308,0.29833,0.12592,2.1725,2.13354,1.59669,0.000759318,0.000759318,0.000759318
57,972.901,1.7665,1.67107,1.30919,0.45902,0.42809,0.36204,0.14747,2.19896,1.99253,1.6064,0.000742815,0.000742815,0.000742815
58,988.871,1.72284,1.61501,1.26982,0.33971,0.4359,0.33129,0.141,2.14555,1.94921,1.60441,0.000726312,0.000726312,0.000726312
59,1005.48,1.70816,1.57475,1.31442,0.44125,0.37179,0.35505,0.14762,2.04921,1.9808,1.53692,0.000709809,0.000709809,0.000709809
60,1021.13,1.69345,1.55989,1.27332,0.3093,0.36198,0.25955,0.1036,2.21942,2.15891,1.65166,0.000693305,0.000693305,0.000693305
61,1037.74,1.699,1.50513,1.27923,0.35889,0.46154,0.37365,0.15,2.15643,2.05938,1.59566,0.000676802,0.000676802,0.000676802
62,1054.83,1.65431,1.53781,1.28103,0.3299,0.48472,0.35393,0.16057,2.06499,1.93936,1.54625,0.000660299,0.000660299,0.000660299
63,1072.47,1.6915,1.52443,1.28418,0.35968,0.37681,0.30514,0.13454,2.15428,2.04778,1.59159,0.000643795,0.000643795,0.000643795
64,1089.69,1.67317,1.56613,1.32319,0.41328,0.32051,0.30635,0.14129,2.11169,2.01783,1.57748,0.000627292,0.000627292,0.000627292
