Metric,Best,Worst,Average,Std Dev
Precision,0.6258,0.4761,0.5436,0.0663
Recall,0.4325,0.4032,0.4194,0.0122
mAP50,0.4749,0.3862,0.4335,0.0395
mAP50-95,0.215,0.1689,0.1905,0.0203
