Metric,Best,Worst,Average,Std Dev
Precision,0.5722,0.4245,0.4736,0.0591
Recall,0.4294,0.359,0.409,0.0288
mAP50,0.4083,0.3536,0.3831,0.0242
mAP50-95,0.1645,0.1336,0.1484,0.0115
